CITY,OBJECTID,DZCODE,CITY_NAME_,CITY_NAME2,dzcode_1,coord_long,coord_lat,pos_x,pos_y,cityclass,Area_km2,Shape_Length,Shape_Area,Cohesion,nCohesion,Cohesion_km,Proximity,nProximity,Spin,nSpin,Range,nRange
511900,225,5119,Bazhong,Bazhong,5119,106.68,31.83,6345,5507,0,1.68926485,6062.299834,1689264.85,737.7846205,0.899880474,0.737784621,537.0940737,0.910190539,345795.2931,0.777497139,2251.748178,0.65130455
430800,136,4308,Zhangjiajie,Zhangjiajie,4308,110.47,29.13,7044,6112,2,2.466437504,7194.65486,2466437.504,881.2898699,0.910294321,0.88128987,637.7984204,0.926158726,482295.1715,0.813911778,2565.263763,0.690809165
431100,134,4311,Yongzhou,Yongzhou,4311,111.56,26.43,7261,6700,0,5.266430056,10501.98915,5266430.056,1326.556413,0.883686032,1.326556413,970.583657,0.889321907,1152537.271,0.727246222,4719.850826,0.548636816
230500,97,2305,Shuangyashan,Shuangyashan,2305,131.15,46.63,10116,1920,3,5.276191966,9703.707983,5276191.966,1241.33497,0.945228609,1.24133497,910.1610698,0.94923959,965672.7398,0.869582414,3760.217807,0.689290593
341000,25,3410,Huangshan,Huangshan,3410,118.33,29.72,8523,5917,0,6.326782175,10439.99897,6326782.175,1341.40178,0.957851352,1.34140178,980.5574206,0.964833147,1109701.848,0.907395674,3675.232166,0.772256765
511400,233,5114,Meishan,Meishan,5114,103.83,30.05,5797,5874,0,6.680977058,10439.95562,6680977.058,1367.804977,0.965297907,1.367804977,1004.580992,0.967762609,1157645.069,0.918511685,3726.421119,0.782677983
360300,157,3603,pinxiang,Pingxiang,3603,113.83,27.6,7695,6433,0,7.197152592,10829.57308,7197152.592,1410.861539,0.971318174,1.410861539,1034.53912,0.975365168,1225228.967,0.934896613,4091.891745,0.739794808
230700,98,2307,Yichun,Yichun,2307,128.91,47.72,9740,1755,0,7.403412591,11941.46528,7403412.591,1595.642548,0.87105569,1.595642548,1180.344904,0.86704343,1674814.993,0.70353425,4707.190886,0.652242698
360600,161,3606,Yingtan,Yingtan,3606,117.07,28.27,8310,6253,0,7.861994966,11618.34541,7861994.966,1530.649004,0.935742427,1.530649004,1122.50323,0.939534183,1467558.578,0.852623793,4385.453767,0.721451105
451400,63,4514,Chongzuo,Chongzuo,4514,107.37,22.37,6416,7576,0,11.52228556,14085.18783,11522285.56,1820.283131,0.952567865,1.820283131,1333.398877,0.957509379,2068427.297,0.886581175,5804.367859,0.65988681
141100,219,1411,Lvliang,Luliang,1411,111.13,37.52,7148,4258,0,14.38792068,14762.04279,14387920.68,1983.415276,0.976901817,1.983415276,1464.194289,0.974392906,2451542.649,0.934068473,5217.946944,0.820265447
220600,163,2206,baishan,Baishan,2206,126.44,41.91,9592,3073,0,14.54868291,15588.89947,14548682.91,2087.155986,0.933517546,2.087155986,1535.710715,0.934192184,2766792.985,0.836887622,6337.091057,0.679167587
